"id"	"experiment_id"	"grade_id"
24845	34035	17
24846	39357	29
24847	33394	17
24848	32991	17
24849	27052	17
24850	34695	17
24851	43035	29
24852	27601	17
24853	20056	17
24854	31567	19
24855	42099	17
24856	21233	25
24857	34308	17
24858	34076	17
24859	37097	17
24860	25337	17
24861	36835	17
24862	32018	17
24863	20953	25
24864	25103	17
24865	40337	17
24866	21862	17
24867	21592	25
24868	24643	17
24869	26958	17
24870	26485	17
24871	20303	17
24872	33592	17
24873	29245	17
24874	39973	17
24875	27446	17
24876	28280	17
24877	22166	18
24878	36752	21
24879	37052	25
24880	20481	17
24881	36048	17
24882	38098	28
24883	38819	17
24884	19586	30
24885	40994	25
24886	32539	27
24887	37736	29
24888	32733	17
24889	29069	17
24890	35814	17
24891	29145	21
24892	20621	17
24893	40941	21
24894	38821	17
24895	34399	17
24896	27750	17
24897	27306	17
24898	30245	17
24899	25229	17
24900	30183	17
24901	37746	29
24902	31246	17
24903	30508	17
24904	23647	17
24905	30493	17
24906	35777	17
24907	30537	17
24908	43433	29
24909	41776	25
24910	25697	19
24911	38948	17
24912	34560	17
24913	29832	17
24914	33626	17
24915	30964	17
24916	42409	17
24917	39264	17
24918	34193	17
24919	22383	17
24920	40705	28
24921	40189	29
24922	34698	17
24923	26517	20
24924	38387	26
24925	35670	17
24926	26460	17
24927	25130	17
24928	42624	17
24929	33705	17
24930	39403	28
24931	32233	17
24932	30555	21
24933	31806	17
24934	32114	17
24935	26819	17
24936	41334	21
24937	36661	17
24938	31499	17
24939	26444	17
24940	25008	17
24941	29100	17
24942	25971	20
24943	38649	17
24944	25063	17
24945	24720	17
24946	38726	28
24947	26415	20
24948	40923	17
24949	32724	17
24950	24754	17
24951	40527	17
24952	37190	17
24953	27349	17
24954	43575	17
24955	28776	25
24956	27771	19
24957	43364	17
24958	43252	17
24959	43183	17
24960	43145	28
24961	34314	17
24962	30387	17
24963	25512	17
24964	41515	17
24965	39518	21
24966	43970	21
24967	33745	17
24968	20429	26
24969	31599	17
24970	28965	17
24971	20780	17
24972	21934	17
24973	30649	17
24974	27839	17
24975	26275	17
24976	22153	17
24977	40400	29
24978	34961	17
24979	34601	17
24980	41689	21
24981	33388	17
24982	37665	28
24983	39283	17
24984	27670	26
24985	37806	17
24986	33029	20
24987	27279	17
24988	43299	29
24989	37363	17
24990	42737	17
24991	20744	17
24992	25376	17
24993	34046	17
24994	32633	17
24995	24706	17
24996	32751	17
24997	26801	17
24998	32034	17
24999	24299	17
25000	40550	28
25001	26912	17
25002	25950	17
25003	40701	26
25004	22819	25
25005	20696	17
25006	38274	17
25007	37283	17
25008	32793	17
25009	26977	25
25010	40961	22
25011	33270	17
25012	26525	17
25013	39915	17
25014	37824	29
25015	32597	17
25016	31838	20
25017	20866	17
25018	33983	17
25019	19863	30
25020	38426	28
25021	36490	17
25022	21450	17
25023	41232	17
25024	29179	17
25025	38175	17
25026	28811	17
25027	21559	25
25028	38852	17
25029	31561	17
25030	40877	17
25031	23409	17
25032	29982	17
25033	24919	17
25034	43555	17
25035	34283	21
25036	43927	17
25037	40174	28
25038	43287	17
25039	31779	17
25040	22504	25
25041	36735	17
25042	33611	17
25043	31114	18
25044	20437	25
25045	33796	17
25046	30730	17
25047	42842	17
25048	40931	26
25049	36813	17
25050	42661	17
25051	22173	25
25052	24513	17
25053	31359	17
25054	24934	17
25055	27470	17
25056	39685	29
25057	24075	20
25058	37751	28
25059	22889	25
25060	28467	26
25061	24963	17
25062	34167	18
25063	29122	17
25064	30140	17
25065	25052	17
25066	36571	17
25067	40458	17
25068	22924	25
25069	40298	19
25070	37714	21
25071	31387	21
25072	4926	34
25073	32250	29
25074	24088	17
25075	41839	17
25076	42567	28
25077	39848	28
25078	31336	17
25079	23356	18
25080	27248	23
25081	23730	17
