"id"	"substance_id"	"ncgc_id"	"tox21_id"	"pubchem_sid"	"bottle_barcode"	"withdrawn"
162	6146	"NCGC00255877-01"	301310	144211627	"TX002399"	"false"
163	8583	"NCGC00254745-01"	300842	144211159	"TX000988"	"false"
164	8939	"NCGC00255749-01"	301380	144211697	"TX003207"	"false"
165	8928	"NCGC00255435-01"	302033	144212350	"TX007351"	"false"
166	505	"NCGC00255507-01"	301881	144212198	"TX006034"	"false"
167	7012	"NCGC00256739-01"	302497	144212814	"TX011642"	"false"
168	1366	"NCGC00254860-01"	300958	144211275	"TX000757"	"false"
169	4889	"NCGC00257447-01"	303388	144213700	"TX003916"	"false"
170	1363	"NCGC00255337-01"	301824	144212141	"TX005701"	"false"
171	5000	"NCGC00255318-01"	302423	144212740	"TX010218"	"false"
172	4947	"NCGC00257104-01"	303123	144213440	"TX001699"	"false"
173	6715	"NCGC00257323-01"	303566	144213871	"TX011370"	"false"
174	7922	"NCGC00254635-01"	300729	144211046	"TX000876"	"false"
175	6022	"NCGC00255283-01"	301392	144211709	"TX003457"	"false"
176	3901	"NCGC00257387-01"	303490	144213799	"TX012260"	"false"
177	7608	"NCGC00256363-01"	302868	144213185	"TX006550"	"false"
178	6432	"NCGC00257351-01"	303461	144213771	"TX012225"	"false"
179	1266	"NCGC00256948-01"	303325	144213642	"TX001769"	"false"
180	6850	"NCGC00257398-01"	303400	144213711	"TX012262"	"false"
181	1482	"NCGC00257282-01"	303498	144213806	"TX012219"	"false"
182	464	"NCGC00254658-01"	300753	144211070	"TX000717"	"false"
183	6979	"NCGC00257373-01"	303569	144213874	"TX012227"	"false"
184	4735	"NCGC00254743-01"	300840	144211157	"TX001608"	"false"
185	442	"NCGC00254948-01"	301046	144211363	"TX000801"	"false"
186	4543	"NCGC00257341-01"	303589	144213894	"TX012243"	"false"
187	2053	"NCGC00256327-01"	302922	144213239	"TX001649"	"false"
188	4238	"NCGC00254932-01"	301030	144211347	"TX003213"	"false"
189	5491	"NCGC00257366-01"	303476	144213786	"TX012215"	"false"
190	9170	"NCGC00253947-01"	300207	144210527	"TX006148"	"false"
191	9171	"NCGC00253990-01"	300209	144210529	"TX006150"	"false"
192	2639	"NCGC00254241-01"	300439	144210757	"TX006165"	"false"
193	2649	"NCGC00254032-01"	300237	144210557	"TX006227"	"false"
194	8280	"NCGC00254195-01"	300260	144210580	"TX006252"	"false"
195	3580	"NCGC00254230-01"	300231	144210551	"TX006220"	"false"
196	8278	"NCGC00253949-01"	300233	144210553	"TX006222"	"false"
197	8275	"NCGC00254291-01"	300433	144210751	"TX006159"	"false"
198	7326	"NCGC00254381-01"	300437	144210755	"TX006163"	"false"
199	1729	"NCGC00254297-01"	300447	144210765	"TX006174"	"false"
200	4013	"NCGC00254328-01"	300478	144210796	"TX006796"	"false"
201	4798	"NCGC00254422-01"	300340	144210658	"TX001830"	"false"
202	4503	"NCGC00254109-01"	300263	144210583	"TX006255"	"false"
203	3229	"NCGC00254657-01"	300752	144211069	"TX001594"	"false"
204	3363	"NCGC00254310-01"	300386	144210704	"TX003964"	"false"
205	1786	"NCGC00257427-01"	303349	144213666	"TX011661"	"false"
206	7370	"NCGC00257405-01"	303504	144213812	"TX011663"	"false"
207	1788	"NCGC00257322-01"	303554	144213859	"TX011655"	"false"
208	6427	"NCGC00257468-01"	303416	144213727	"TX011664"	"false"
209	5693	"NCGC00254463-01"	300502	144210820	"TX007255"	"false"
210	4098	"NCGC00091205-03"	400034	144213995	"TX008321"	"false"
211	1784	"NCGC00257296-01"	303474	144213784	"TX011658"	"false"
212	1752	"NCGC00254239-01"	300324	144210642	"TX000097"	"false"
213	8527	"NCGC00254488-01"	300339	144210657	"TX001801"	"false"
214	3938	"NCGC00254234-01"	300515	144210833	"TX007737"	"false"
215	4176	"NCGC00254669-01"	300765	144211082	"TX001540"	"false"
216	3231	"NCGC00254826-01"	300924	144211241	"TX000845"	"false"
217	8807	"NCGC00254780-01"	300876	144211193	"TX000945"	"false"
218	2313	"NCGC00255051-01"	301153	144211470	"TX001580"	"false"
219	1195	"NCGC00254748-01"	300845	144211162	"TX000721"	"false"
220	1373	"NCGC00254768-01"	300864	144211181	"TX002811"	"false"
221	94	"NCGC00255041-01"	301143	144211460	"TX001535"	"false"
222	3258	"NCGC00254755-01"	300852	144211169	"TX011611"	"false"
223	418	"NCGC00163927-04"	400073	144214034	"TX011581"	"false"
224	3225	"NCGC00255019-01"	301120	144211437	"TX003363"	"false"
225	2328	"NCGC00255089-01"	301191	144211508	"TX000809"	"false"
226	8474	"NCGC00255079-01"	301181	144211498	"TX000832"	"false"
227	1374	"NCGC00254905-01"	301003	144211320	"TX000736"	"false"
228	3252	"NCGC00255026-01"	301127	144211444	"TX009152"	"false"
229	2000	"NCGC00254582-01"	300674	144210991	"TX002844"	"false"
230	3995	"NCGC00255077-01"	301179	144211496	"TX000820"	"false"
231	7659	"NCGC00254751-01"	300848	144211165	"TX001536"	"false"
232	8824	"NCGC00254681-01"	300777	144211094	"TX001604"	"false"
233	2981	"NCGC00254947-01"	301045	144211362	"TX001552"	"false"
234	6800	"NCGC00254772-01"	300868	144211185	"TX000902"	"false"
235	259	"NCGC00254614-01"	300706	144211023	"TX000965"	"false"
236	7943	"NCGC00254988-01"	301088	144211405	"TX000773"	"false"
237	6037	"NCGC00254991-01"	301091	144211408	"TX001447"	"false"
238	2924	"NCGC00254886-01"	300984	144211301	"TX001549"	"false"
239	5120	"NCGC00254553-01"	300645	144210962	"TX000689"	"false"
240	5864	"NCGC00254646-01"	300740	144211057	"TX000900"	"false"
241	7015	"NCGC00254605-01"	300697	144211014	"TX000673"	"false"
242	4310	"NCGC00254521-01"	300390	144210708	"TX004188"	"false"
243	7013	"NCGC00254737-01"	300833	144211150	"TX000892"	"false"
244	8590	"NCGC00090986-03"	400015	144213976	"TX003443"	"false"
245	5660	"NCGC00256574-01"	302934	144213251	"TX002271"	"false"
246	3351	"NCGC00254545-01"	300384	144210702	"TX003896"	"false"
247	496	"NCGC00255675-01"	301699	144212016	"TX005098"	"false"
248	4106	"NCGC00257042-01"	303051	144213368	"TX009368"	"false"
249	6829	"NCGC00257109-01"	303192	144213509	"TX003273"	"false"
250	8083	"NCGC00256768-01"	302628	144212945	"TX006078"	"false"
251	7749	"NCGC00255034-01"	301135	144211452	"TX000771"	"false"
252	6993	"NCGC00254767-01"	300863	144211180	"TX001003"	"false"
253	2135	"NCGC00254827-01"	300925	144211242	"TX000723"	"false"
254	2335	"NCGC00254632-01"	300726	144211043	"TX000896"	"false"
255	7738	"NCGC00254626-01"	300720	144211037	"TX000663"	"false"
256	4119	"NCGC00254413-01"	300590	144210907	"TX009882"	"false"
257	4557	"NCGC00257494-01"	303549	144213854	"TX012254"	"false"
258	4559	"NCGC00257244-01"	303471	144213781	"TX012251"	"false"
259	8502	"NCGC00257287-01"	303587	144213892	"TX012524"	"false"
260	5490	"NCGC00257443-01"	303614	144213919	"TX012550"	"false"
261	3275	"NCGC00257332-01"	303657	144213959	"TX012535"	"false"
262	1015	"NCGC00256368-01"	302952	144213269	"TX006929"	"false"
263	5093	"NCGC00255180-01"	301913	144212230	"TX006552"	"false"
264	1998	"NCGC00256549-01"	302835	144213152	"TX006120"	"false"
265	2232	"NCGC00257076-01"	303331	144213648	"TX001393"	"false"
266	4749	"NCGC00254524-01"	300571	144210888	"TX009687"	"false"
267	7580	"NCGC00254094-01"	300193	144210513	"TX005751"	"false"
268	1021	"NCGC00253953-01"	300040	144210360	"TX001913"	"false"
269	4784	"NCGC00255002-01"	301102	144211419	"TX001449"	"false"
270	2302	"NCGC00254951-01"	301049	144211366	"TX001417"	"false"
271	1419	"NCGC00254965-01"	301063	144211380	"TX001415"	"false"
272	4157	"NCGC00254613-01"	300705	144211022	"TX002802"	"false"
273	7615	"NCGC00254000-01"	300274	144210594	"TX006863"	"false"
274	6034	"NCGC00257240-01"	303406	144213717	"TX012257"	"false"
275	7006	"NCGC00255125-01"	302435	144212752	"TX011628"	"false"
276	5221	"NCGC00255710-01"	302100	144212417	"TX007521"	"false"
277	3337	"NCGC00255417-01"	302110	144212427	"TX007547"	"false"
278	7833	"NCGC00257082-01"	303110	144213427	"TX004391"	"false"
279	4260	"NCGC00255424-01"	302013	144212330	"TX007151"	"false"
280	3815	"NCGC00256479-01"	302902	144213219	"TX008770"	"false"
281	5486	"NCGC00257383-01"	303437	144213747	"TX012514"	"false"
282	578	"NCGC00255721-01"	301558	144211875	"TX004478"	"false"
283	4024	"NCGC00256951-01"	303091	144213408	"TX005109"	"false"
284	3585	"NCGC00256649-01"	302594	144212911	"TX010198"	"false"
285	7016	"NCGC00255556-01"	301545	144211862	"TX004403"	"false"
286	3965	"NCGC00254340-01"	300365	144210683	"TX003083"	"false"
287	3997	"NCGC00257041-01"	303036	144213353	"TX008536"	"false"
288	5476	"NCGC00257431-01"	303440	144213750	"TX012256"	"false"
289	363	"NCGC00256963-01"	303268	144213585	"TX006871"	"false"
290	4281	"NCGC00255968-01"	301317	144211634	"TX002518"	"false"
291	2947	"NCGC00256376-01"	302801	144213118	"TX001732"	"false"
292	1454	"NCGC00257343-01"	303610	144213915	"TX012241"	"false"
293	780	"NCGC00254081-01"	300223	144210543	"TX006212"	"false"
294	3314	"NCGC00255404-01"	301216	144211533	"TX001039"	"false"
295	1790	"NCGC00257311-01"	303381	144213693	"TX012239"	"false"
296	5095	"NCGC00255254-01"	302268	144212585	"TX008415"	"false"
297	1049	"NCGC00256585-01"	302822	144213139	"TX008939"	"false"
298	2358	"NCGC00255574-01"	302325	144212642	"TX009018"	"false"
299	5169	"NCGC00254733-01"	300829	144211146	"TX003163"	"false"
300	2888	"NCGC00256334-01"	302744	144213061	"TX009418"	"false"
301	5115	"NCGC00257290-01"	303395	144213707	"TX012231"	"false"
302	9193	"NCGC00256848-01"	303628	144213933	"TX011631"	"false"
303	2974	"NCGC00255197-01"	302425	144212742	"TX010280"	"false"
304	8110	"NCGC00256027-01"	301625	144211942	"TX004844"	"false"
305	2382	"NCGC00254685-01"	300781	144211098	"TX002905"	"false"
306	4558	"NCGC00257478-01"	303561	144213866	"TX012259"	"false"
307	1792	"NCGC00257286-01"	303564	144213869	"TX012255"	"false"
308	6033	"NCGC00255272-01"	301965	144212282	"TX006754"	"false"
309	1511	"NCGC00255993-01"	302114	144212431	"TX007557"	"false"
310	7826	"NCGC00257126-01"	303152	144213469	"TX002309"	"false"
311	1791	"NCGC00257429-01"	303401	144213712	"TX012217"	"false"
312	2355	"NCGC00254557-01"	300649	144210966	"TX002415"	"false"
313	5249	"NCGC00256154-01"	301657	144211974	"TX004951"	"false"
314	3269	"NCGC00255681-01"	302294	144212611	"TX008654"	"false"
315	7761	"NCGC00253984-01"	300126	144210446	"TX003311"	"false"
316	4898	"NCGC00254457-01"	300531	144210849	"TX008379"	"false"
317	3596	"NCGC00254245-01"	300607	144210924	"TX010347"	"false"
318	3055	"NCGC00090910-03"	400063	144214024	"TX010787"	"false"
319	6809	"NCGC00254246-01"	300505	144210823	"TX007284"	"false"
320	6976	"NCGC00254409-01"	300397	144210715	"TX004626"	"false"
321	5807	"NCGC00254496-01"	300575	144210892	"TX009701"	"false"
