"id"	"sample_id"	"t0_grade_id"	"validated"	"t4_grade_id"	"call_id"	"annotation"
2245	456	17	"false"	17	1	
2246	457	17	"false"	17	1	
2247	458	17	"false"	17	1	
2248	459	17	"false"	17	1	
2249	460	17	"false"	17	1	
2250	461	17	"false"	17	1	
2251	462	17	"false"	17	1	
2145	297	17	"true"	17	1	
2252	463	17	"false"	17	1	
2254	466	17	"false"	17	1	
2255	467	17	"false"	17	1	
2256	469	17	"false"	17	1	
2257	470	17	"false"	17	1	
2258	472	17	"false"	17	1	
2259	473	17	"false"	17	1	
2260	474	17	"false"	17	1	
2261	478	17	"false"	17	1	
2262	479	17	"false"	17	1	
2263	482	17	"false"	17	1	
2264	483	17	"false"	17	1	
2265	484	17	"false"	17	1	
2266	485	17	"false"	17	1	
2267	486	17	"false"	17	1	
2268	487	17	"false"	17	1	
2269	488	17	"false"	17	1	
2270	489	17	"false"	17	1	
2271	490	17	"false"	17	1	
2272	491	17	"false"	17	1	
2274	494	17	"false"	17	1	
2275	496	17	"false"	17	1	
2276	498	19	"false"	19	1	
2277	499	17	"false"	17	1	
2279	503	17	"false"	17	1	
2280	506	17	"false"	17	1	
2281	509	17	"false"	17	1	
2282	510	17	"false"	17	1	
2283	512	17	"false"	17	1	
2284	514	17	"false"	17	1	
2285	515	17	"false"	17	1	
2287	518	17	"false"	17	1	
2288	519	17	"false"	17	1	
2290	522	17	"false"	17	1	
2291	524	17	"false"	17	1	
2293	527	17	"false"	17	1	
2294	529	17	"false"	17	1	
2296	533	17	"false"	17	1	
2297	534	17	"false"	17	1	
2298	536	28	"false"	28	1	
2299	537	28	"false"	28	1	
2300	541	17	"false"	17	1	
2301	543	17	"false"	17	1	
2302	544	17	"false"	17	1	
2303	545	17	"false"	17	1	
2304	547	17	"false"	17	1	
2305	548	17	"false"	17	1	
2306	549	17	"false"	17	1	
2307	551	17	"false"	17	1	
2308	552	17	"false"	17	1	
2309	553	17	"false"	17	1	
2310	556	17	"false"	17	1	
2311	557	17	"false"	17	1	
2312	559	17	"false"	17	1	
2313	561	17	"false"	17	1	
2316	569	17	"false"	17	1	
2317	570	17	"false"	17	1	
2318	572	17	"false"	17	1	
2319	575	17	"false"	17	1	
2320	576	17	"false"	17	1	
2321	578	17	"false"	17	1	
