"id"	"list_id"	"substance_id"
1494	5	5070
1495	5	5074
1496	5	5080
1497	5	5081
1498	5	5097
1499	5	5098
1500	5	5119
1501	5	5137
1502	5	5140
1503	5	5143
1504	5	5154
1505	5	5165
1506	5	5170
1507	5	5194
1508	5	5195
1509	5	5198
1510	5	5208
1511	5	5216
1512	5	5220
1513	5	5223
1514	5	5224
1515	5	5227
1516	5	5234
1517	5	5240
1518	5	5264
1519	5	5286
1520	5	5352
1521	5	5381
1522	5	5385
1523	5	5419
1524	5	5426
1525	5	5427
1526	5	5429
1527	5	5433
1528	5	5435
1529	5	5436
1530	5	5461
1531	5	5464
1532	5	5478
1533	5	5486
1534	5	5490
1535	5	5581
1536	5	5584
1537	5	5594
1538	5	5598
1539	5	5599
1540	5	5604
1541	5	5618
1542	5	5621
1543	5	5655
1544	5	5657
1545	5	5658
1546	5	5659
1547	5	5660
1548	5	5661
1549	5	5664
1550	5	5666
1551	5	5667
1552	5	5673
1553	5	5677
1554	5	5678
1555	5	5680
1556	5	5681
1557	5	5686
1558	5	5687
1559	5	5689
1560	5	5690
1561	5	5693
1562	5	5695
1563	5	5700
1564	5	5702
1565	5	5703
1566	5	5704
1567	5	5706
1568	5	5710
1569	5	5711
1570	5	5719
1571	5	5726
1572	5	5735
1573	5	5736
1574	5	5741
1575	5	5742
1576	5	5744
1577	5	5745
1578	5	5749
1579	5	5750
1580	5	5751
1581	5	5754
1582	5	5755
1583	5	5757
1584	5	5758
1585	5	5759
1586	5	5760
1587	5	5761
1588	5	5762
1589	5	5763
1590	5	5767
1591	5	5768
1592	5	5769
1593	5	5770
1594	5	5771
1595	5	5772
1596	5	5773
1597	5	5774
1598	5	5777
1599	5	5778
1600	5	5779
1601	5	5787
1602	5	5791
1603	5	5823
1604	5	5832
1605	5	5842
1606	5	5849
1607	5	5856
1608	5	5862
1609	5	5864
1610	5	5865
1611	5	5871
1612	5	5872
1613	5	5875
1614	5	5881
1615	5	5884
1616	5	5887
1617	5	5890
1618	5	5892
1619	5	5895
1620	5	5897
1621	5	5899
1622	5	5901
1623	5	5902
1624	5	5905
1625	5	5907
1626	5	5908
1627	5	5909
1628	5	5910
1629	5	5914
1630	5	5915
1631	5	5918
1632	5	5920
1633	5	5921
1634	5	5922
1635	5	5924
1636	5	5925
1637	5	5930
1638	5	5935
1639	5	5938
1640	5	5940
1641	5	5944
1642	5	5949
1643	5	5950
1644	5	5951
1645	5	5952
1646	5	5953
1647	5	5957
1648	5	5963
1649	5	5964
1650	5	5965
1651	5	5967
1652	5	5968
1653	5	5969
1654	5	5973
1655	5	5975
1656	5	5978
1657	5	5980
1658	5	5981
1659	5	5982
1660	5	5985
1661	5	5992
1662	5	5995
1663	5	6006
1664	5	6007
1665	5	6008
1666	5	6010
1667	5	6014
1668	5	6016
1669	5	6017
1670	5	6018
1671	5	6020
1672	5	6022
1673	5	6032
1674	5	6040
1675	5	6041
1676	5	6042
1677	5	6047
1678	5	6057
1679	5	6064
1680	5	6065
1681	5	6070
1682	5	6077
1683	5	6084
1684	5	6087
1685	5	6090
1686	5	6101
1687	5	6106
1688	5	6108
1689	5	6109
1690	5	6110
1691	5	6118
1692	5	6156
1693	5	6168
1694	5	6172
1695	5	6173
1696	5	6174
1697	5	6176
1698	5	6177
1699	5	6195
1700	5	6196
1701	5	6197
1702	5	6199
1703	5	6205
1704	5	6209
1705	5	6211
1706	5	6309
1707	5	6316
1708	5	6317
1709	5	6351
1710	5	6355
1711	5	6371
1712	5	6372
1713	5	6375
1714	5	6376
1715	5	6378
1716	5	6379
1717	5	6385
1718	5	6397
1719	5	6398
1720	5	6400
1721	5	6418
1722	5	6429
1723	5	6454
1724	5	6489
1725	5	6510
1726	5	6522
1727	5	6524
1728	5	6527
1729	5	6533
1730	5	6534
