"id"	"substance_id"	"t0_grade_id"	"validated"	"t4_grade_id"	"call_id"	"annotation"
1826	302	17	"false"	17	1	
1827	304	17	"false"	17	1	
1828	309	17	"false"	17	1	
1829	310	17	"false"	17	1	
1830	311	17	"false"	17	1	
1831	316	17	"false"	17	1	
1832	317	17	"false"	17	1	
1833	318	17	"false"	17	1	
1834	319	17	"false"	17	1	
1835	322	17	"false"	17	1	
1836	325	17	"false"	17	1	
1837	331	17	"false"	17	1	
1838	334	17	"false"	17	1	
1839	335	17	"false"	17	1	
1840	337	17	"false"	17	1	
1841	344	17	"false"	17	1	
1842	346	17	"false"	17	1	
1843	352	17	"false"	17	1	
1844	354	17	"false"	17	1	
1845	355	17	"false"	17	1	
1846	363	28	"false"	28	1	
1847	367	17	"false"	17	1	
1848	374	17	"false"	17	1	
1849	380	17	"false"	17	1	
1850	382	17	"false"	17	1	
1734	68	17	"true"	17	1	
1739	90	17	"true"	17	1	
1736	80	17	"true"	17	1	
1737	81	17	"true"	17	1	
1741	100	17	"true"	17	1	
1740	95	17	"true"	17	1	
1742	101	17	"true"	17	1	
1743	103	17	"true"	17	1	
1744	104	17	"true"	17	1	
1745	106	17	"true"	17	1	
1746	118	17	"true"	17	1	
1747	119	17	"true"	17	1	
1748	123	17	"true"	17	1	
1749	125	17	"true"	17	1	
1750	126	28	"true"	28	1	
1751	128	17	"true"	17	1	
1752	133	17	"true"	17	1	
1753	135	17	"true"	17	1	
1761	163	17	"true"	17	1	
1755	137	17	"true"	17	1	
1756	141	17	"true"	17	1	
1759	158	17	"true"	17	1	
1760	160	17	"true"	17	1	
1852	388	17	"false"	17	1	
1853	389	17	"false"	17	1	
1854	392	17	"false"	17	1	
1855	396	17	"false"	17	1	
1856	397	17	"false"	17	1	
1857	402	17	"false"	17	1	
1858	413	17	"false"	17	1	
1859	416	17	"false"	17	1	
1813	261	17	"true"	17	1	
1861	421	17	"false"	17	1	
1863	423	17	"false"	17	1	
1864	424	17	"false"	17	1	
1866	428	17	"false"	17	1	
1867	436	17	"false"	17	1	
1868	438	17	"false"	17	1	
1869	439	17	"false"	17	1	
1870	440	17	"false"	17	1	
1871	441	17	"false"	17	1	
1872	442	17	"false"	17	1	
1873	444	18	"false"	18	1	
1874	446	17	"false"	17	1	
1875	447	17	"false"	17	1	
1876	448	17	"false"	17	1	
1877	450	17	"false"	17	1	
1878	452	17	"false"	17	1	
1879	455	17	"false"	17	1	
1880	457	17	"false"	17	1	
1881	460	17	"false"	17	1	
1882	462	17	"false"	17	1	
2221	1206	17	"false"	17	1	
1883	463	17	"false"	17	1	
1884	464	17	"false"	17	1	
1885	465	17	"false"	17	1	
1886	466	17	"false"	17	1	
1887	467	17	"false"	17	1	
1888	471	17	"false"	17	1	
1889	476	17	"false"	17	1	
13336	181	17	"true"	21	3	
1891	478	17	"false"	17	1	
1892	482	17	"false"	17	1	
1893	484	17	"false"	17	1	
1894	485	17	"false"	17	1	
1895	487	28	"false"	28	1	
1896	489	17	"false"	17	1	
1897	490	17	"false"	17	1	
1898	491	17	"false"	17	1	
1899	492	17	"false"	17	1	
1900	494	17	"false"	17	1	
1901	495	17	"false"	17	1	
13337	177	17	"true"	21	3	
1903	497	17	"false"	17	1	
1904	499	17	"false"	17	1	
1905	500	17	"false"	17	1	
1906	502	17	"false"	17	1	
1907	503	17	"false"	17	1	
1908	508	17	"false"	17	1	
1909	514	17	"false"	17	1	
1910	516	17	"false"	17	1	
1911	517	17	"false"	17	1	
