id,substances_id,bp_degc,mp_degc,vp_mmhg,logp
574,257,344.844,168.208,4.92819e-07,5.77942
575,258,479.711,216.788,9.7743e-10,6.10891
576,259,315.742,91.5922,1.50023e-07,2.14048
577,260,264.66,184.366,3.78229e-11,2.49725
578,261,364.957,154.744,2.50046e-06,4.27803
579,262,370.489,47.0761,3.44651e-06,5.69778
580,263,290.107,164.864,3.86065e-07,-0.167604
581,264,80.0105,-77.3658,86.135,0.799882
582,265,70.5595,-60.9667,95.8925,0.0887957
583,266,266.246,63.0277,0.00482165,3.41029
584,267,337.797,14.9997,1.50282e-05,4.19741
586,269,264.744,185.971,1.65322e-11,1.10231
587,270,139.405,-72.8212,5.07271,0.228498
588,271,298.804,86.2613,5.17609e-05,1.18433
589,272,143.065,14.8308,0.494949,-0.158187
590,273,318.811,190.087,3.77634e-06,1.77326
591,274,313.582,177.442,1.9208e-09,-0.999864
592,275,319.202,131.766,5.96209e-06,2.1741
593,276,336.855,214.439,4.63874e-11,2.4829
594,277,327.223,177.005,1.3027e-05,-1.02613
595,278,210.755,57.7384,0.0940331,0.480638
596,279,318.06,176.905,1.0011e-10,-1.74407
597,280,292.119,221.86,2.38123e-09,-0.525714
598,281,257.099,157.857,1.89416e-10,-1.69787
599,282,324.427,36.094,2.39383e-05,3.44979
600,283,339.149,118.594,2.62631e-08,-1.25225
601,284,302.354,12.93,0.00256718,4.59083
603,286,230.138,-9.58197,0.0662072,1.88037
604,287,41.1333,154.283,430.749,-2.6099
605,288,231.221,27.4568,0.0248555,2.61594
606,289,300.498,86.0041,2.88557e-07,1.37128
607,290,319.928,15.0284,0.00115787,3.11506
608,291,309.165,156.923,1.22491e-07,-0.540599
609,292,246.983,43.7267,0.0540728,2.80024
610,293,293.906,164.509,0.000183028,2.85661
611,294,293.863,144.446,0.000237702,2.24051
612,295,260.01,26.4127,0.00744427,2.77594
613,296,235.028,196.318,8.43536e-06,1.62984
614,297,370.432,237.307,7.92255e-12,2.37318
615,298,333.35,260.048,6.31791e-09,1.47519
616,299,266.515,85.8556,0.00398454,1.5613
617,300,491.864,254.509,3.02668e-10,
618,301,84.8526,-58.5456,48.6488,-0.209158
619,302,288.052,35.3656,0.00206519,1.99482
620,303,191.67,-31.8038,0.280287,0.800939
621,304,205.865,79.4131,0.0200049,-1.11093
622,305,326.96,195.205,1.2665e-09,-1.60943
623,306,208.637,-13.977,0.0010195,-0.28819
624,307,259.889,-9.31672,0.0063609,6.61034
625,308,292.094,-39.2383,0.000418037,4.8478
626,309,202.061,161.474,0.13152,0.0882703
627,310,392.1,206.037,1.17739e-07,3.33139
628,311,264.23,119.865,0.000276396,0.961443
629,312,128.313,-70.3999,35.2352,0.104104
630,313,341.65,179.283,6.1407e-08,0.66674
631,314,79.61,-93.8497,121.344,1.47942
632,315,414.084,149.56,6.14328e-07,5.47454
633,316,316.962,176.386,8.18192e-09,-0.109784
634,317,285.454,147.697,0.00195126,1.8274
635,318,228.507,9.06848,0.0954733,2.11145
636,319,291.373,98.4842,9.08734e-05,3.23777
637,320,306.246,344.845,9.06933e-08,-0.830054
638,321,318.014,141.797,0.000234582,-0.85548
639,322,385.943,104.021,1.90077e-09,4.22006
640,323,246.462,38.0935,0.0259122,1.04056
641,324,253.841,3.23421,0.010541,1.23834
642,325,353.083,148.803,1.61347e-05,0.676061
643,326,250.155,72.7389,0.000513485,1.28916
644,327,357.063,62.8171,0.000100495,6.60534
646,329,436.132,-52.9081,2.93606e-06,9.45128
647,330,303.988,99.3506,0.00179717,4.37252
648,331,282.013,169.21,0.0161695,1.70736
651,334,303.383,20.6189,1.13004e-07,0.390126
652,335,276.482,55.6976,0.0131512,3.60941
653,336,282.309,71.849,0.013526,3.68874
654,337,247.516,62.1452,0.0218843,3.83907
655,338,360.073,25.1068,3.04253e-06,4.0763
656,339,259.887,-49.5435,0.0040036,1.33652
657,340,394.194,33.1038,2.3334e-07,9.40853
658,341,64.2673,-3.52181,179.741,2.03693
659,342,303.669,206.033,3.22844e-10,0.574114
660,343,314.003,140.7,7.25774e-10,-2.43137
661,344,328.012,110.167,5.15928e-07,3.35913
662,345,291.954,104.323,8.87098e-07,1.21514
663,346,214.253,91.6686,0.00336461,1.59307
664,347,292.409,3.29851,9.36302e-05,6.90324
665,348,190.656,-30.3905,0.0775028,0.421694
666,349,125.496,-57.4803,14.0051,5.17863
667,350,147.873,-55.0191,4.90088,3.16082
668,351,216.297,-9.91949,0.13539,6.09948
669,352,242.939,18.9218,0.00296741,4.42381
670,353,248.947,36.7429,0.0103112,2.3655
671,354,355.274,33.8062,1.28488e-06,2.71865
672,355,179.298,1.75478,0.241099,2.89762
673,356,359.327,50.9984,7.26872e-07,1.25126
674,357,177.999,-49.9701,0.554932,5.41279
675,358,199.485,33.665,0.3593,1.58855
676,359,196.762,66.1289,0.029532,-0.759771
677,360,41.1333,-84.982,430.749,2.39497
678,361,286.776,17.9217,0.00142636,8.07999
679,362,145.081,-65.889,0.474184,-0.407489
680,363,185.91,36.6787,0.747495,4.46976
681,364,139.989,-70.5464,23.3772,0.334018
682,365,309.476,45.2897,3.86631e-05,6.32942
683,366,196.188,20.0261,0.190043,-0.362946
684,367,174.278,-56.1718,1.00289,0.654932
685,368,173.074,-63.638,2.80092,-0.0888248
686,369,251.48,138.787,6.00718e-05,0.671782
687,370,217.149,-70.3918,0.0652388,1.42536
688,371,172.517,0.854126,0.499607,0.988753
689,372,222.92,-7.71393,0.00284049,-2.38695
690,373,145.522,-23.6399,1.0379,3.78995
691,374,236.451,31.9948,0.0520861,1.11262
692,375,243.727,40.5529,0.110524,1.08733
693,376,167.546,-54.5731,2.91968,2.45125
694,377,318.067,131.079,3.28831e-08,-1.2627
695,378,447.694,138.992,1.48206e-08,9.24632
697,380,373.488,77.154,5.08459e-10,5.60971
698,381,318.093,-14.7384,0.000120661,3.28473
699,382,347.255,81.1918,1.95077e-06,3.24614
700,383,219.419,61.2481,0.0778192,-0.731334
701,384,278.867,208.994,9.67467e-05,-1.06205
