id,substances_id,orig_sample_id,tox21_id,pubchem_sid,withdrawn,bottle_barcode
202,4503,NCGC00254109-01,300263,144210583,0,TX006255
203,3229,NCGC00254657-01,300752,144211069,0,TX001594
204,3363,NCGC00254310-01,300386,144210704,0,TX003964
205,1786,NCGC00257427-01,303349,144213666,0,TX011661
206,7370,NCGC00257405-01,303504,144213812,0,TX011663
207,1788,NCGC00257322-01,303554,144213859,0,TX011655
208,6427,NCGC00257468-01,303416,144213727,0,TX011664
209,5693,NCGC00254463-01,300502,144210820,0,TX007255
210,4098,NCGC00091205-03,400034,144213995,0,TX008321
211,1784,NCGC00257296-01,303474,144213784,0,TX011658
212,1752,NCGC00254239-01,300324,144210642,0,TX000097
213,8527,NCGC00254488-01,300339,144210657,0,TX001801
214,3938,NCGC00254234-01,300515,144210833,0,TX007737
215,4176,NCGC00254669-01,300765,144211082,0,TX001540
216,3231,NCGC00254826-01,300924,144211241,0,TX000845
217,8807,NCGC00254780-01,300876,144211193,0,TX000945
218,2313,NCGC00255051-01,301153,144211470,0,TX001580
219,1195,NCGC00254748-01,300845,144211162,0,TX000721
220,1373,NCGC00254768-01,300864,144211181,0,TX002811
221,94,NCGC00255041-01,301143,144211460,0,TX001535
222,3258,NCGC00254755-01,300852,144211169,0,TX011611
223,418,NCGC00163927-04,400073,144214034,0,TX011581
224,3225,NCGC00255019-01,301120,144211437,0,TX003363
225,2328,NCGC00255089-01,301191,144211508,0,TX000809
226,8474,NCGC00255079-01,301181,144211498,0,TX000832
227,1374,NCGC00254905-01,301003,144211320,0,TX000736
228,3252,NCGC00255026-01,301127,144211444,0,TX009152
229,2000,NCGC00254582-01,300674,144210991,0,TX002844
230,3995,NCGC00255077-01,301179,144211496,0,TX000820
231,7659,NCGC00254751-01,300848,144211165,0,TX001536
232,8824,NCGC00254681-01,300777,144211094,0,TX001604
233,2981,NCGC00254947-01,301045,144211362,0,TX001552
234,6800,NCGC00254772-01,300868,144211185,0,TX000902
235,259,NCGC00254614-01,300706,144211023,0,TX000965
236,7943,NCGC00254988-01,301088,144211405,0,TX000773
237,6037,NCGC00254991-01,301091,144211408,0,TX001447
238,2924,NCGC00254886-01,300984,144211301,0,TX001549
239,5120,NCGC00254553-01,300645,144210962,0,TX000689
240,5864,NCGC00254646-01,300740,144211057,0,TX000900
241,7015,NCGC00254605-01,300697,144211014,0,TX000673
242,4310,NCGC00254521-01,300390,144210708,0,TX004188
243,7013,NCGC00254737-01,300833,144211150,0,TX000892
244,8590,NCGC00090986-03,400015,144213976,0,TX003443
245,5660,NCGC00256574-01,302934,144213251,0,TX002271
246,3351,NCGC00254545-01,300384,144210702,0,TX003896
247,496,NCGC00255675-01,301699,144212016,0,TX005098
248,4106,NCGC00257042-01,303051,144213368,0,TX009368
